Light,Dark,Nutrients,Taste,Energy,Nutrients,Cost,Grams
20,3,0,0,10.08,0,4.079344,18.28
20,3,2,1,10.08,1.68,5.243344,18.84
20,3,4,2,10.08,3.36,6.923344,20.33
20,3,6,2,10.08,5.04,8.603344,21.97
20,4,0,0,8.64,0,3.467152,24.33
20,4,2,1,8.64,1.44,4.907152,25.24
20,4,4,2,8.64,2.88,6.347152,28.72
20,4,6,2,8.64,4.32,7.787152,34.87
20,5,0,0,7.2,0,3.37096,29.21
20,5,2,1,7.2,1.2,4.57096,32.78
20,5,4,2,7.2,2.4,5.77096,34.32
20,5,6,2,7.2,3.6,6.97096,37.2
18,3,0,0,9.072,0,3.4960096,22.17
18,3,2,1,9.072,1.68,5.1760096,23
18,3,4,2,9.072,3.36,6.8560096,25.45
18,3,6,2,9.072,5.04,8.5360096,27.68
18,4,0,0,7.776,0,3.4094368,30
18,4,2,1,7.776,1.44,4.8494368,31.35
18,4,4,2,7.776,2.88,6.2894368,32
18,4,6,2,7.776,4.32,7.7294368,33.43
18,5,0,0,6.48,0,3.322864,35
18,5,2,1,6.48,1.2,4.522864,37.71
18,5,4,2,6.48,2.4,5.722864,38.67
18,5,6,2,6.48,3.6,6.922864,39.31
16,3,0,0,8.064,0,3.4286752,29.44
16,3,2,1,8.064,1.68,5.1086752,31.7
16,3,4,2,8.064,3.36,6.7886752,36.8
16,3,6,2,8.064,5.04,8.4686752,38.98
16,4,0,0,6.912,0,3.3517216,35.2
16,4,2,1,6.912,1.44,4.7917216,34.2
16,4,4,2,6.912,2.88,6.2317216,34.16
16,4,6,2,6.912,4.32,7.6717216,33.74
16,5,0,0,5.76,0,3.274768,34.15
16,5,2,1,5.76,1.2,4.474768,36.66
16,5,4,2,5.76,2.4,5.674768,35.74
16,5,6,2,5.76,3.6,6.874768,33.89
14,3,0,0,7.056,0,3.3613408,38.33
14,3,2,1,7.056,1.68,5.0413408,40.8
14,3,4,2,7.056,3.36,6.7213408,38.09
14,3,6,2,7.056,5.04,8.4013408,38.91
14,4,0,0,6.048,0,3.2940064,33.58
14,4,2,1,6.048,1.44,4.7340064,33.3
14,4,4,2,6.048,2.88,6.1740064,34.45
14,4,6,2,6.048,4.32,7.6140064,36.37
14,5,0,0,5.04,0,3.226672,34.51
14,5,2,1,5.04,1.2,4.426672,35.02
14,5,4,2,5.04,2.4,5.626672,34.41
14,5,6,2,5.04,3.6,6.826672,30.9
